Rank,Metro ,States,Population 2019,Population 2010,Growth ,,,,
79,Colorado Springs,CO MSA,745791,645613,15.52%,,"745,791","645,613","Colorado Springs, CO MSA"
80,Little Rock-North Little Rock-Conway,AR MSA,742384,699757,6.09%,,"742,384","699,757","Little Rock-North Little Rock-Conway, AR MSA"
81,Lakeland-Winter Haven,FL MSA,724777,602095,20.38%,,"724,777","602,095","Lakeland-Winter Haven, FL MSA"
82,Akron,OH MSA,703479,703200,0.04%,,"703,479","703,200","Akron, OH MSA"
83,Des Moines-West Des Moines,IA MSA,699292,606475,15.30%,,"699,292","606,475","Des Moines-West Des Moines, IA MSA"
84,Springfield,MA MSA,697382,692942,0.64%,,"697,382","692,942","Springfield, MA MSA"
85,Ogden-Clearfield,UT MSA,683864,597159,14.52%,,"683,864","597,159","Ogden-Clearfield, UT MSA"
86,Poughkeepsie-Newburgh-Middletown,NY MSA,679158,670301,1.32%,,"679,158","670,301","Poughkeepsie-Newburgh-Middletown, NY MSA"
87,Winston-Salem,NC MSA,676008,640595,5.53%,,"676,008","640,595","Winston-Salem, NC MSA"
88,Deltona-Daytona Beach-Ormond Beach,FL MSA,668365,590289,13.23%,,"668,365","590,289","Deltona-Daytona Beach-Ormond Beach, FL MSA"
89,Madison,WI MSA,664865,605435,9.82%,,"664,865","605,435","Madison, WI MSA"
90,Syracuse,NY MSA,648593,662577,−2.11%,,"648,593","662,577","Syracuse, NY MSA"
91,Provo-Orem,UT MSA,648252,526810,23.05%,,"648,252","526,810","Provo-Orem, UT MSA"
92,Durham-Chapel Hill,NC MSA,644367,564273,14.19%,,"644,367","564,273","Durham-Chapel Hill, NC MSA"
93,Toledo,OH MSA,641816,651429,−1.48%,,"641,816","651,429","Toledo, OH MSA"
94,Wichita,KS MSA,640218,623061,2.75%,,"640,218","623,061","Wichita, KS MSA"
95,Augusta-Richmond County,GA-SC MSA,608980,564873,7.81%,,"608,980","564,873","Augusta-Richmond County, GA-SC MSA"
96,Palm Bay-Melbourne-Titusville,FL MSA,601942,543376,10.78%,,"601,942","543,376","Palm Bay-Melbourne-Titusville, FL MSA"
97,Jackson,MS MSA,594806,586320,1.45%,,"594,806","586,320","Jackson, MS MSA"
98,Harrisburg-Carlisle,PA MSA,577941,549475,5.18%,,"577,941","549,475","Harrisburg-Carlisle, PA MSA"
99,Spokane-Spokane Valley,WA MSA,568521,514752,10.45%,,"568,521","514,752","Spokane-Spokane Valley, WA MSA"
100,Chattanooga,TN-GA MSA,565194,528143,7.02%,,"565,194","528,143","Chattanooga, TN-GA MSA"
101,Scranton–Wilkes-Barre,PA MSA,553885,563631,−1.73%,,"553,885","563,631","Scranton–Wilkes-Barre, PA MSA"
102,Modesto,CA MSA,550660,514453,7.04%,,"550,660","514,453","Modesto, CA MSA"
103,Lansing-East Lansing,MI MSA,550391,534684,2.94%,,"550,391","534,684","Lansing-East Lansing, MI MSA"
104,Lancaster,PA MSA,545724,519445,5.06%,,"545,724","519,445","Lancaster, PA MSA"
105,Portland-South Portland,ME MSA,538500,514098,4.75%,,"538,500","514,098","Portland-South Portland, ME MSA"
106,Youngstown-Warren-Boardman,OH-PA MSA,536081,565773,−5.25%,,"536,081","565,773","Youngstown-Warren-Boardman, OH-PA MSA"
107,Fayetteville-Springdale-Rogers,AR MSA,534904,440121,21.54%,,"534,904","440,121","Fayetteville-Springdale-Rogers, AR MSA"
108,Fayetteville,NC MSA,526719,481061,9.49%,,"526,719","481,061","Fayetteville, NC MSA"
109,Lexington-Fayette,KY MSA,517056,472099,9.52%,,"517,056","472,099","Lexington-Fayette, KY MSA"
110,Pensacola-Ferry Pass-Brent,FL MSA,502629,448991,11.95%,,"502,629","448,991","Pensacola-Ferry Pass-Brent, FL MSA"
111,Myrtle Beach-Conway-North Myrtle Beach,SC-NC MSA,496901,376722,31.90%,,"496,901","376,722","Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA"
112,Santa Rosa-Petaluma,CA MSA,494336,483878,2.16%,,"494,336","483,878","Santa Rosa-Petaluma, CA MSA"
113,Port St. Lucie,FL MSA,489297,424107,15.37%,,"489,297","424,107","Port St. Lucie, FL MSA"
114,Lafayette,LA MSA,489207,466750,4.81%,,"489,207","466,750","Lafayette, LA MSA"
115,Reno,NV MSA,475642,425417,11.81%,,"475,642","425,417","Reno, NV MSA"
116,Huntsville,AL MSA,471824,417593,12.99%,,"471,824","417,593","Huntsville, AL MSA"
117,Springfield,MO MSA,470300,436712,7.69%,,"470,300","436,712","Springfield, MO MSA"
118,Visalia,CA MSA,466195,442179,5.43%,,"466,195","442,179","Visalia, CA MSA"
119,Asheville,NC MSA,462680,424858,8.90%,,"462,680","424,858","Asheville, NC MSA"
120,Killeen-Temple,TX MSA,460303,405300,13.57%,,"460,303","405,300","Killeen-Temple, TX MSA"
121,York-Hanover,PA MSA,449058,434972,3.24%,,"449,058","434,972","York-Hanover, PA MSA"
122,Vallejo,CA MSA,447643,413344,8.30%,,"447,643","413,344","Vallejo, CA MSA"
123,Santa Maria-Santa Barbara,CA MSA,446499,423895,5.33%,,"446,499","423,895","Santa Maria-Santa Barbara, CA MSA"
124,Salinas,CA MSA,434061,415057,4.58%,,"434,061","415,057","Salinas, CA MSA"
125,Salem,OR MSA,433903,390738,11.05%,,"433,903","390,738","Salem, OR MSA"
126,Mobile,AL MSA,429536,430573,−0.24%,,"429,536","430,573","Mobile, AL MSA"
127,Corpus Christi,TX MSA,429024,405027,5.92%,,"429,024","405,027","Corpus Christi, TX MSA"
128,Brownsville-Harlingen,TX MSA,423163,406220,4.17%,,"423,163","406,220","Brownsville-Harlingen, TX MSA"
129,Reading,PA MSA,421164,411442,2.36%,,"421,164","411,442","Reading, PA MSA"
130,Gulfport-Biloxi,MS MSA,417665,388488,7.51%,,"417,665","388,488","Gulfport-Biloxi, MS MSA"
131,Manchester-Nashua,NH MSA,417025,400721,4.07%,,"417,025","400,721","Manchester-Nashua, NH MSA"
132,Salisbury,MD-DE MSA,415726,373802,11.22%,,"415,726","373,802","Salisbury, MD-DE MSA"
133,Fort Wayne,IN MSA,413263,388621,6.34%,,"413,263","388,621","Fort Wayne, IN MSA"
134,Flint,MI MSA,405813,425790,−4.69%,,"405,813","425,790","Flint, MI MSA"
135,Peoria,IL MSA,400561,416255,−3.77%,,"400,561","416,255","Peoria, IL MSA"
136,Canton-Massillon,OH MSA,397520,404422,−1.71%,,"397,520","404,422","Canton-Massillon, OH MSA"
137,Anchorage,AK MSA,396317,380821,4.07%,,"396,317","380,821","Anchorage, AK MSA"
138,Shreveport-Bossier City,LA MSA,394706,398604,−0.98%,,"394,706","398,604","Shreveport-Bossier City, LA MSA"
139,Savannah,GA MSA,393353,347611,13.16%,,"393,353","347,611","Savannah, GA MSA"
140,Beaumont-Port Arthur,TX MSA,392563,388745,0.98%,,"392,563","388,745","Beaumont-Port Arthur, TX MSA"
141,Tallahassee,FL MSA,387227,367413,5.39%,,"387,227","367,413","Tallahassee, FL MSA"
142,Naples-Marco Island,FL MSA,384902,321520,19.71%,,"384,902","321,520","Naples-Marco Island, FL MSA"
143,Eugene-Springfield,OR MSA,382067,351715,8.63%,,"382,067","351,715","Eugene-Springfield, OR MSA"
144,Davenport-Moline-Rock Island,IA-IL MSA,379172,379690,−0.14%,,"379,172","379,690","Davenport-Moline-Rock Island, IA-IL MSA"
145,Montgomery,AL MSA,373290,374536,−0.33%,,"373,290","374,536","Montgomery, AL MSA"
146,Hickory-Lenoir-Morganton,NC MSA,369711,365497,1.15%,,"369,711","365,497","Hickory-Lenoir-Morganton, NC MSA"
147,Ann Arbor,MI MSA,367601,344791,6.62%,,"367,601","344,791","Ann Arbor, MI MSA"
148,Trenton-Princeton,NJ MSA,367430,366513,0.25%,,"367,430","366,513","Trenton-Princeton, NJ MSA"
149,Ocala,FL MSA,365579,331298,10.35%,,"365,579","331,298","Ocala, FL MSA"
150,Fort Collins,CO MSA,356899,299630,19.11%,,"356,899","299,630","Fort Collins, CO MSA"
151,Huntington-Ashland,WV-KY-OH MSA,355873,370908,−4.05%,,"355,873","370,908","Huntington-Ashland, WV-KY-OH MSA"
152,Lincoln,NE MSA,336374,302157,11.32%,,"336,374","302,157","Lincoln, NE MSA"
153,Rockford,IL MSA,336116,349431,−3.81%,,"336,116","349,431","Rockford, IL MSA"
154,Gainesville,FL MSA,329128,305076,7.88%,,"329,128","305,076","Gainesville, FL MSA"
155,Boulder,CO MSA,326196,294567,10.74%,,"326,196","294,567","Boulder, CO MSA"
156,Greeley,CO MSA,324492,252825,28.35%,,"324,492","252,825","Greeley, CO MSA"
157,South Bend-Mishawaka,IN-MI MSA,323613,319224,1.37%,,"323,613","319,224","South Bend-Mishawaka, IN-MI MSA"
158,Green Bay,WI MSA,322906,306241,5.44%,,"322,906","306,241","Green Bay, WI MSA"
159,Lubbock,TX MSA,322257,290805,10.82%,,"322,257","290,805","Lubbock, TX MSA"
160,Columbus,GA-AL MSA,321048,307788,4.31%,,"321,048","307,788","Columbus, GA-AL MSA"
161,Spartanburg,SC MSA,319785,284307,12.48%,,"319,785","284,307","Spartanburg, SC MSA"
162,Evansville,IN-KY MSA,315086,311552,1.13%,,"315,086","311,552","Evansville, IN-KY MSA"
163,Roanoke,VA MSA,313222,308707,1.46%,,"313,222","308,707","Roanoke, VA MSA"
164,Clarksville,TN-KY MSA,307820,273949,12.36%,,"307,820","273,949","Clarksville, TN-KY MSA"
165,Kingsport-Bristol,TN-VA MSA,307202,309544,−0.76%,,"307,202","309,544","Kingsport-Bristol, TN-VA MSA"
166,Kennewick-Richland,WA MSA,299612,253340,18.26%,,"299,612","253,340","Kennewick-Richland, WA MSA"
167,Wilmington,NC MSA,297533,254884,16.73%,,"297,533","254,884","Wilmington, NC MSA"
168,Olympia-Lacey-Tumwater,WA MSA,290536,252264,15.17%,,"290,536","252,264","Olympia-Lacey-Tumwater, WA MSA"
169,Utica-Rome,NY MSA,289990,299397,−3.14%,,"289,990","299,397","Utica-Rome, NY MSA"
170,Duluth,MN-WI MSA,288732,290637,−0.66%,,"288,732","290,637","Duluth, MN-WI MSA"
171,Hagerstown-Martinsburg,MD-WV MSA,288104,269140,7.05%,,"288,104","269,140","Hagerstown-Martinsburg, MD-WV MSA"
172,Longview,TX MSA,286657,280000,2.38%,,"286,657","280,000","Longview, TX MSA"
173,Crestview-Fort Walton Beach-Destin,FL MSA,284809,235865,20.75%,,"284,809","235,865","Crestview-Fort Walton Beach-Destin, FL MSA"
174,San Luis Obispo-Paso Robles,CA MSA,283111,269637,5.00%,,"283,111","269,637","San Luis Obispo-Paso Robles, CA MSA"
175,Merced,CA MSA,277680,255793,8.56%,,"277,680","255,793","Merced, CA MSA"
176,Laredo,TX MSA,276652,250304,10.53%,,"276,652","250,304","Laredo, TX MSA"
177,Waco,TX MSA,273920,252772,8.37%,,"273,920","252,772","Waco, TX MSA"
178,Santa Cruz-Watsonville,CA MSA,273213,262382,4.13%,,"273,213","262,382","Santa Cruz-Watsonville, CA MSA"
179,Cedar Rapids,IA MSA,273032,257940,5.85%,,"273,032","257,940","Cedar Rapids, IA MSA"
180,Bremerton-Silverdale-Port Orchard,WA MSA,271473,251133,8.10%,,"271,473","251,133","Bremerton-Silverdale-Port Orchard, WA MSA"
181,Erie,PA MSA,269728,280566,−3.86%,,"269,728","280,566","Erie, PA MSA"
182,Sioux Falls,SD MSA,268232,228261,17.51%,,"268,232","228,261","Sioux Falls, SD MSA"
183,Norwich-New London,CT MSA,265206,274055,−3.23%,,"265,206","274,055","Norwich-New London, CT MSA"
184,Kalamazoo-Portage,MI MSA,265066,250331,5.89%,,"265,066","250,331","Kalamazoo-Portage, MI MSA"
185,Amarillo,TX MSA,265053,251933,5.21%,,"265,053","251,933","Amarillo, TX MSA"
186,College Station-Bryan,TX MSA,264728,228660,15.77%,,"264,728","228,660","College Station-Bryan, TX MSA"
187,Atlantic City-Hammonton,NJ MSA,263670,274549,−3.96%,,"263,670","274,549","Atlantic City-Hammonton, NJ MSA"
188,Lynchburg,VA MSA,263566,252634,4.33%,,"263,566","252,634","Lynchburg, VA MSA"
189,Charleston,WV MSA,257074,278009,−7.53%,,"257,074","278,009","Charleston, WV MSA"
190,Tuscaloosa,AL MSA,252047,239207,5.37%,,"252,047","239,207","Tuscaloosa, AL MSA"
191,Yakima,WA MSA,250873,243231,3.14%,,"250,873","243,231","Yakima, WA MSA"
192,Fort Smith,AR-OK MSA,250368,248208,0.87%,,"250,368","248,208","Fort Smith, AR-OK MSA"
193,Fargo,ND-MN MSA,246145,208777,17.90%,,"246,145","208,777","Fargo, ND-MN MSA"
194,Binghamton,NY MSA,238691,251725,−5.18%,,"238,691","251,725","Binghamton, NY MSA"
195,Appleton,WI MSA,237974,225666,5.45%,,"237,974","225,666","Appleton, WI MSA"
196,Prescott Valley-Prescott,AZ MSA,235099,211033,11.40%,,"235,099","211,033","Prescott Valley-Prescott, AZ MSA"
197,Lafayette-West Lafayette,IN MSA,233002,210297,10.80%,,"233,002","210,297","Lafayette-West Lafayette, IN MSA"
198,Tyler,TX MSA,232751,209714,10.98%,,"232,751","209,714","Tyler, TX MSA"
199,Topeka,KS MSA,231969,233870,−0.81%,,"231,969","233,870","Topeka, KS MSA"
200,Macon-Bibb County,GA MSA,229996,232293,−0.99%,,"229,996","232,293","Macon-Bibb County, GA MSA"
201,Bellingham,WA MSA,229247,201140,13.97%,,"229,247","201,140","Bellingham, WA MSA"
202,Champaign-Urbana,IL MSA,226033,217810,3.78%,,"226,033","217,810","Champaign-Urbana, IL MSA"
203,Daphne-Fairhope-Foley,AL MSA,223234,182265,22.48%,,"223,234","182,265","Daphne-Fairhope-Foley, AL MSA"
204,Hilton Head Island-Bluffton-Beaufort,SC MSA,222195,187010,18.81%,,"222,195","187,010","Hilton Head Island-Bluffton-Beaufort, SC MSA"
205,Rochester,MN MSA,221921,206877,7.27%,,"221,921","206,877","Rochester, MN MSA"
206,Medford,OR MSA,220944,203206,8.73%,,"220,944","203,206","Medford, OR MSA"
207,Burlington-South Burlington,VT MSA,220411,211261,4.33%,,"220,411","211,261","Burlington-South Burlington, VT MSA"
208,Chico,CA MSA,219186,220000,−0.37%,,"219,186","220,000","Chico, CA MSA"
209,Charlottesville,VA MSA,218615,201559,8.46%,,"218,615","201,559","Charlottesville, VA MSA"
210,Las Cruces,NM MSA,218195,209233,4.28%,,"218,195","209,233","Las Cruces, NM MSA"
